c_id,artist,track,album,song_url,filename
c00125,Bodyslam,อากาศ,Bodyslam,http://chordtabs.in.th/song.php?song_id=125&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002110.png
c00126,Bodyslam,ทางของฉันฝันของเธอ,Bodyslam,http://chordtabs.in.th/song.php?song_id=126&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002111.png
c00127,Bodyslam,ไม่รู้เมื่อไหร่,Believe,http://chordtabs.in.th/song.php?song_id=127&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002112.png
c00128,Bodyslam,ความซื่อสัตย์,Drive,http://chordtabs.in.th/song.php?song_id=128&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002113.png
c00129,Bodyslam,จันทร์ยังเต็มดวง,Drive,http://chordtabs.in.th/song.php?song_id=129&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002114.png
c00130,Bodyslam,ชีวิตที่เหลืออยู่,Drive,http://chordtabs.in.th/song.php?song_id=130&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002115.png
c00131,Bodyslam,ภาพลวงตา,Drive,http://chordtabs.in.th/song.php?song_id=131&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002116.png
c00132,Bodyslam,หวั่นไหว,Drive,http://chordtabs.in.th/song.php?song_id=132&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002117.png
c00133,Bodyslam,Bodyslam,Drive,http://chordtabs.in.th/song.php?song_id=133&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002118.png
c00134,Bodyslam,เจ็บจนวันนี้,Believe,http://chordtabs.in.th/song.php?song_id=134&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002119.png
c00135,Bodyslam,ขอบฟ้า,Believe,http://chordtabs.in.th/song.php?song_id=135&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002120.png
c00136,Bodyslam,ความรักทำให้คนตาบอด,Believe,http://chordtabs.in.th/song.php?song_id=136&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002121.png
c00137,Bodyslam,พูดในใจ,Believe,http://chordtabs.in.th/song.php?song_id=137&chord=yes,"http://chordtabs.in.th/admin/admin/songsxx/c0002122,.png"
c00138,Bodyslam,รักก็เป็นอย่างนี้,Believe,http://chordtabs.in.th/song.php?song_id=138&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002123.png
c00139,Bodyslam,ห้ามใจ,Believe,http://chordtabs.in.th/song.php?song_id=139&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002124.png
c00140,Bodyslam,ชีวิตเป็นของเรา,Believe,http://chordtabs.in.th/song.php?song_id=140&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002125.png
c00141,Bodyslam,Away,Bodyslam,http://chordtabs.in.th/song.php?song_id=141&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002126.png
c00142,Bodyslam,เผื่อไว้,Bodyslam,http://chordtabs.in.th/song.php?song_id=142&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002127.png
c00143,Bodyslam,ให้รักคุ้มครอง,Drive,http://chordtabs.in.th/song.php?song_id=143&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002128.png
c00144,Bodyslam,หลังฝน,Drive,http://chordtabs.in.th/song.php?song_id=144&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0002129.png
c00145,Sound Of Desolate,รอรักสุดท้ายที่ปลายฟ้า,Waiting For Last Love At The Horizon,http://chordtabs.in.th/song.php?song_id=145&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0003001.png
c00146,Bikini,ปลดปล่อย,Do it or Die,http://chordtabs.in.th/song.php?song_id=146&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0003101.png
c00147,เอิ้น พิยะดา (Feat.วารุศ รินทรานุกูล),วันที่เธอไม่สบาย,Behind The Songs,http://chordtabs.in.th/song.php?song_id=147&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0003201.png
c00149,Gear Knight,คนมีคู่ไม่รู้หรอก,Gear Knight 2 Battle,http://chordtabs.in.th/song.php?song_id=149&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0003401.png
c00150,Peck ผลิตโชค,ชู้ในใจ,One Man Story 2,http://chordtabs.in.th/song.php?song_id=150&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0003501.png
c00151,เจี๊ยบ วรรธณา,วัน เดือน ปี,Ost.Final Score,http://chordtabs.in.th/song.php?song_id=151&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0003601.png
c00152,โรส ศิรินทิพย์,เพื่อนธรรมดา,ROSE LINE,http://chordtabs.in.th/song.php?song_id=152&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0003801.png
c00153,Emotion Town,เหตุเกิดจากความเหงา,Emotion Town,http://chordtabs.in.th/song.php?song_id=153&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0003901.png
c00154,ไก่ สมพล,ยังไงก็รัก,Ost.ยังไงก็รัก,http://chordtabs.in.th/song.php?song_id=154&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c0004001.png
c00155,Potato,เข้าทาง,Sense,http://chordtabs.in.th/song.php?song_id=155&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000308.png
c00156,Potato,ที่เดิม,Life,http://chordtabs.in.th/song.php?song_id=156&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000309.png
c00157,Potato,ปากดี,Life,http://chordtabs.in.th/song.php?song_id=157&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000310.png
c00158,Potato,อย่ามาทำหน้าตาดี,Life,http://chordtabs.in.th/song.php?song_id=158&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000311.png
c00159,Potato,ภาษากาย,Life,http://chordtabs.in.th/song.php?song_id=159&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000312.png
c00160,Potato,ลาลาลา,Life,http://chordtabs.in.th/song.php?song_id=160&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000313.png
c00161,Potato,สามเวลา,Life,http://chordtabs.in.th/song.php?song_id=161&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000314.png
c00162,Potato,กำแพง,Life,http://chordtabs.in.th/song.php?song_id=162&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000315.png
c00163,Potato,หวังดีเสมอ,Life,http://chordtabs.in.th/song.php?song_id=163&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000316.png
c00164,Potato,ฟังความข้างเดียว,Sense,http://chordtabs.in.th/song.php?song_id=164&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000317.png
c00165,Potato,ชีวิตที่ขาดเธอ,Sense,http://chordtabs.in.th/song.php?song_id=165&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000318.png
c00166,Potato,ไม่ให้เธอไป,Go..on,http://chordtabs.in.th/song.php?song_id=166&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000319.png
c00167,Potato,กล้าพอไหม,Go..on,http://chordtabs.in.th/song.php?song_id=167&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000320.png
c00168,Potato,ถ้าพรุ่งนี้ฉันทำไม่ได้,Sense,http://chordtabs.in.th/song.php?song_id=168&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000321.png
c00169,Potato,ปล่อย,Sense,http://chordtabs.in.th/song.php?song_id=169&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000322.png
c00170,Silly Fools,One Generation,Mini,http://chordtabs.in.th/song.php?song_id=170&chord=yes,http://chordtabs.in.th/admin/admin/songsxx/c9000406.png
